1739582157200,POST,210,201
1739582157214,POST,205,201
1739582157215,POST,205,201
1739582157199,POST,220,201
1739582157214,POST,205,201
1739582157215,POST,203,201
1739582157215,POST,203,201
1739582157200,POST,218,201
1739582157200,POST,218,201
1739582157215,POST,203,201
1739582157210,POST,208,201
1739582157199,POST,219,201
1739582157200,POST,218,201
1739582157214,POST,204,201
1739582157210,POST,208,201
1739582157215,POST,203,201
1739582157199,POST,219,201
1739582157214,POST,203,201
1739582157211,POST,206,201
1739582157214,POST,203,201
1739582157214,POST,201,201
1739582157214,POST,201,201
1739582157214,POST,201,201
1739582157215,POST,200,201
1739582157214,POST,197,201
1739582157215,POST,196,201
1739582157200,POST,211,201
1739582157214,POST,196,201
1739582157212,POST,198,201
1739582157214,POST,196,201
1739582157200,POST,210,201
1739582157214,POST,209,201
1739582157420,POST,47,201
1739582157421,POST,46,201
1739582157420,POST,47,201
1739582157422,POST,45,201
1739582157422,POST,60,201
1739582157422,POST,60,201
1739582157420,POST,62,201
1739582157423,POST,61,201
1739582157420,POST,64,201
1739582157422,POST,62,201
1739582157421,POST,68,201
1739582157422,POST,67,201
1739582157421,POST,68,201
1739582157421,POST,69,201
1739582157420,POST,69,201
1739582157423,POST,67,201
1739582157424,POST,66,201
1739582157422,POST,67,201
1739582157420,POST,71,201
1739582157421,POST,70,201
1739582157423,POST,69,201
1739582157421,POST,71,201
1739582157423,POST,70,201
1739582157423,POST,72,201
1739582157424,POST,78,201
1739582157423,POST,79,201
1739582157423,POST,82,201
1739582157423,POST,82,201
1739582157423,POST,82,201
1739582157422,POST,84,201
1739582157422,POST,84,201
1739582157421,POST,100,201
1739582157467,POST,60,201
1739582157467,POST,73,201
1739582157489,POST,54,201
1739582157467,POST,76,201
1739582157482,POST,62,201
1739582157468,POST,76,201
1739582157493,POST,55,201
1739582157491,POST,57,201
1739582157492,POST,56,201
1739582157485,POST,63,201
1739582157490,POST,61,201
1739582157490,POST,61,201
1739582157491,POST,60,201
1739582157485,POST,72,201
1739582157485,POST,77,201
1739582157495,POST,67,201
1739582157490,POST,73,201
1739582157490,POST,76,201
1739582157482,POST,84,201
1739582157482,POST,84,201
1739582157490,POST,81,201
1739582157489,POST,82,201
1739582157502,POST,69,201
1739582157505,POST,66,201
1739582157505,POST,66,201
1739582157506,POST,65,201
1739582157506,POST,67,201
1739582157505,POST,68,201
1739582157502,POST,71,201
1739582157490,POST,86,201
1739582157492,POST,84,201
1739582157527,POST,54,201
1739582157543,POST,42,201
1739582157521,POST,67,201
1739582157543,POST,45,201
1739582157544,POST,44,201
1739582157544,POST,45,201
1739582157540,POST,49,201
1739582157551,POST,53,201
1739582157551,POST,53,201
1739582157557,POST,47,201
1739582157548,POST,56,201
1739582157548,POST,56,201
1739582157551,POST,53,201
1739582157549,POST,55,201
1739582157549,POST,61,201
1739582157562,POST,61,201
1739582157573,POST,50,201
1739582157571,POST,53,201
1739582157566,POST,58,201
1739582157563,POST,61,201
1739582157566,POST,58,201
1739582157563,POST,61,201
1739582157566,POST,62,201
1739582157576,POST,52,201
1739582157576,POST,52,201
1739582157604,POST,24,201
1739582157571,POST,60,201
1739582157571,POST,64,201
1739582157571,POST,65,201
1739582157573,POST,62,201
1739582157573,POST,62,201
1739582157571,POST,64,201
1739582157571,POST,65,201
1739582157581,POST,62,201
1739582157588,POST,55,201
1739582157589,POST,54,201
1739582157588,POST,55,201
1739582157585,POST,64,201
1739582157588,POST,62,201
1739582157589,POST,66,201
1739582157604,POST,51,201
1739582157605,POST,50,201
1739582157610,POST,45,201
1739582157604,POST,51,201
1739582157604,POST,51,201
1739582157604,POST,51,201
1739582157604,POST,51,201
